East	40.81	-73.864
TOC	41.026	-73.555
GOO	41.055	-73.48
NRH	41.099	-73.407
LOP	41.211	-73.31
SAB	41.2	-73.415
HOR	41.033	-73.279
ASC	41.146	-73.235
LIW1	40.897	-73.212
SPT	41.155	-73.105
MIH	41.212	-73.053
MCK	41.248	-72.9
QUR	41.307	-72.888
EHF	41.38	-72.8
Cv5785	41.32	-72.7
JAC	41.2	-72.78
HDC	41.2	-72.68
FEC	41.272	-72.586
HAM	41.27	-72.52
BAK	41.273	-72.395
LIW2	41.302	-72.226
YBD	41.385	-72.093
