ASC0423-001s	0.2247
ASC0423-002s	0.2381
ASC0423-003s	0.2522
ASC0423-004s	0.2582
ASC0423-005s	0.2508
ASC0423-006s	0.4130
ASC0423-007s	0.2085
ASC0423-008s	0.2949
ASC0423-009s	0.3609
ASC0423-010s	0.2279
ASC0423-011s	0.2198
ASC0423-012s	0.2672
ASC0423-013s	0.2712
ASC0423-014s	0.2774
ASC0423-015s	0.2574
ASC0423-016s	0.2474
ASC0423-017s	0.2382
ASC0423-018s	0.2177
ASC0423-019s	0.2198
ASC0423-020s	0.2273
ASC0423-021s	0.2191
ASC0423-022s	0.1880
ASC0423-023s	0.3391
ASC0423-024s	0.3017
ASC0423-025s	0.3031
ASC0423-026s	0.2158
ASC0423-027s	0.2088
ASC0423-028s	0.2540
ASC0423-029s	0.1881
ASC0423-030s	0.3246
ASC0423-031s	0.2477
ASC0423-032s	0.2627
ASC0423-033s	0.2961
ASC0423-034s	0.2598
ASC0423-035s	0.2631
ASC0423-036s	0.1714
ASC0423-037s	0.1890
ASC0423-038s	0.1762
ASC0423-039s	0.2592
ASC0423-040s	0.2078
ASC0423-041s	0.2706
ASC0423-042s	0.2893
ASC0423-043s	0.2961
ASC0423-044s	0.2181
ASC0423-045s	0.2620
ASC0423-046s	0.2053
ASC0423-047s	0.2337
ASC0423-048s	0.2532
ASC0423-049s	0.2257
ASC0423-050s	0.4411
ASC23a-12	0.1439
ASC23a-14	0.2548
ASC23a-15	0.2288
ASC23a-16	0.2645
ASC23a-17	0.2482
ASC23a-18	0.3564
ASC23a-22	0.1079
ASC23a-25	0.2674
ASC23a-26	0.1354
ASC23a-27	0.1224
ASC23a-28	0.1759
ASC23a-29	0.1322
ASC23a-31	0.1772
ASC23a-32	0.1895
ASC23a-33	0.1319
ASC23a-34	0.2040
ASC23a-36	0.5431
ASC23a-37	0.2469
ASC23a-39	0.2409
ASC23a-40	0.2685
ASC23a-41	0.1610
ASC23a-42	0.2118
ASC23a-43	0.1781
ASC23a-44	0.2939
ASC23a-45	0.1939
ASC23a-46	0.1988
ASC23a-47	0.1690
ASC23a-48	0.1650
ASC23a-4	0.2271
ASC23a-52	0.1969
ASC23a-54	0.1399
ASC23a-57	0.2287
ASC23a-58	0.2253
ASC23a-59	0.2513
ASC23a-60	0.2243
ASC23a-9	0.2453
BAK0423-001s	0.1331
BAK0423-002s	0.1484
BAK0423-003s	0.2114
BAK0423-004s	0.2525
BAK0423-005s	0.5212
BAK0423-006s	0.1378
BAK0423-007s	0.1441
BAK0423-008s	0.2452
BAK0423-009s	0.2574
BAK0423-010s	0.1712
BAK0423-011s	0.1741
BAK0423-012s	0.3680
BAK0423-013s	0.1976
BAK0423-014s	0.2953
